scenario_id,gen_id,bus,p_mw,vm_pu,p_mw_set,vm_pu_set
0,0,1,200.0,1.0,200.0,1.0
0,1,2,300.0,1.0,300.0,1.0
2,0,1,104.46870525144622,1.0,104.46870525144622,1.0
2,1,2,412.9972877201191,1.0,412.9972877201191,1.0
4,0,1,125.6188320145844,1.0,125.6188320145844,1.0
4,1,2,305.07511441849397,1.0,305.07511441849397,1.0
5,0,1,281.99323298709953,1.0,281.99323298709953,1.0
5,1,2,321.8041805877232,1.0,321.8041805877232,1.0
6,0,1,200.0,1.0,200.0,1.0
6,1,2,300.0,1.0,300.0,1.0
7,0,1,257.77324732850184,1.0,257.77324732850184,1.0
7,1,2,377.3899532911028,1.0,377.3899532911028,1.0
8,0,1,200.0,1.0,200.0,1.0
8,1,2,300.0,1.0,300.0,1.0
9,0,1,160.99582646261732,1.0,160.99582646261732,1.0
9,1,2,421.6989160080259,1.0,421.6989160080259,1.0
10,0,1,193.10170122250685,1.0,193.10170122250685,1.0
10,1,2,372.85944675803586,1.0,372.85944675803586,1.0
11,0,1,107.61023363487074,1.0,107.61023363487074,1.0
11,1,2,161.6298028229292,1.0,161.6298028229292,1.0
12,0,1,200.0,1.0,200.0,1.0
12,1,2,300.0,1.0,300.0,1.0
13,0,1,200.0,1.0,200.0,1.0
13,1,2,300.0,1.0,300.0,1.0
14,0,1,200.0,1.0,200.0,1.0
14,1,2,300.0,1.0,300.0,1.0
15,0,1,200.0,1.0,200.0,1.0
15,1,2,300.0,1.0,300.0,1.0
16,0,1,200.0,1.0,200.0,1.0
16,1,2,300.0,1.0,300.0,1.0
17,0,1,256.17946132319037,1.0,256.17946132319037,1.0
17,1,2,314.6680869788519,1.0,314.6680869788519,1.0
18,0,1,200.0,1.0,200.0,1.0
18,1,2,300.0,1.0,300.0,1.0
19,0,1,200.0,1.0,200.0,1.0
19,1,2,300.0,1.0,300.0,1.0
20,0,1,198.18695179322063,1.0,198.18695179322063,1.0
20,1,2,344.6974183255874,1.0,344.6974183255874,1.0
21,0,1,200.0,1.0,200.0,1.0
21,1,2,300.0,1.0,300.0,1.0
22,0,1,200.0,1.0,200.0,1.0
22,1,2,300.0,1.0,300.0,1.0
23,0,1,200.0,1.0,200.0,1.0
23,1,2,300.0,1.0,300.0,1.0
24,0,1,200.0,1.0,200.0,1.0
24,1,2,300.0,1.0,300.0,1.0
25,0,1,200.0,1.0,200.0,1.0
25,1,2,300.0,1.0,300.0,1.0
26,0,1,200.0,1.0,200.0,1.0
26,1,2,300.0,1.0,300.0,1.0
28,0,1,200.0,1.0,200.0,1.0
28,1,2,300.0,1.0,300.0,1.0
30,0,1,200.0,1.0,200.0,1.0
30,1,2,300.0,1.0,300.0,1.0
31,0,1,200.0,1.0,200.0,1.0
31,1,2,300.0,1.0,300.0,1.0
32,0,1,200.0,1.0,200.0,1.0
32,1,2,300.0,1.0,300.0,1.0
33,0,1,200.0,1.0,200.0,1.0
33,1,2,300.0,1.0,300.0,1.0
34,0,1,264.8265254950985,1.0,264.8265254950985,1.0
34,1,2,229.69493535154103,1.0,229.69493535154103,1.0
35,0,1,208.98762790075835,1.0,208.98762790075835,1.0
35,1,2,223.15324878150173,1.0,223.15324878150173,1.0
36,0,1,200.0,1.0,200.0,1.0
36,1,2,300.0,1.0,300.0,1.0
37,0,1,181.86620907765868,1.0,181.86620907765868,1.0
37,1,2,230.3216439464639,1.0,230.3216439464639,1.0
38,0,1,200.0,1.0,200.0,1.0
38,1,2,300.0,1.0,300.0,1.0
39,0,1,144.00746291802946,1.0,144.00746291802946,1.0
39,1,2,317.48172746971784,1.0,317.48172746971784,1.0
40,0,1,200.0,1.0,200.0,1.0
40,1,2,300.0,1.0,300.0,1.0
41,0,1,116.88513104069345,1.0,116.88513104069345,1.0
41,1,2,431.6130077849201,1.0,431.6130077849201,1.0
42,0,1,200.0,1.0,200.0,1.0
42,1,2,300.0,1.0,300.0,1.0
43,0,1,244.77797435255985,1.0,244.77797435255985,1.0
43,1,2,342.2970479884624,1.0,342.2970479884624,1.0
44,0,1,200.0,1.0,200.0,1.0
44,1,2,300.0,1.0,300.0,1.0
45,0,1,200.0,1.0,200.0,1.0
45,1,2,300.0,1.0,300.0,1.0
46,0,1,259.31425232504705,1.0,259.31425232504705,1.0
46,1,2,265.8657787459139,1.0,265.8657787459139,1.0
47,0,1,200.0,1.0,200.0,1.0
47,1,2,300.0,1.0,300.0,1.0
48,0,1,166.25218688211547,1.0,166.25218688211547,1.0
48,1,2,253.76080240608235,1.0,253.76080240608235,1.0
49,0,1,205.30758744601272,1.0,205.30758744601272,1.0
49,1,2,374.90441963239726,1.0,374.90441963239726,1.0
51,0,1,200.0,1.0,200.0,1.0
51,1,2,300.0,1.0,300.0,1.0
52,0,1,200.0,1.0,200.0,1.0
52,1,2,300.0,1.0,300.0,1.0
53,0,1,200.0,1.0,200.0,1.0
53,1,2,300.0,1.0,300.0,1.0
54,0,1,299.84196195234983,1.0,299.84196195234983,1.0
54,1,2,156.78840378339473,1.0,156.78840378339473,1.0
55,0,1,200.0,1.0,200.0,1.0
55,1,2,300.0,1.0,300.0,1.0
56,0,1,139.4633421589911,1.0,139.4633421589911,1.0
56,1,2,246.1180937328975,1.0,246.1180937328975,1.0
57,0,1,200.0,1.0,200.0,1.0
57,1,2,300.0,1.0,300.0,1.0
58,0,1,200.0,1.0,200.0,1.0
58,1,2,300.0,1.0,300.0,1.0
59,0,1,210.20091412084608,1.0,210.20091412084608,1.0
59,1,2,349.18197975305475,1.0,349.18197975305475,1.0
60,0,1,188.08184545670093,1.0,188.08184545670093,1.0
60,1,2,332.30071716099604,1.0,332.30071716099604,1.0
61,0,1,200.0,1.0,200.0,1.0
61,1,2,300.0,1.0,300.0,1.0
62,0,1,200.0,1.0,200.0,1.0
62,1,2,300.0,1.0,300.0,1.0
63,0,1,200.0,1.0,200.0,1.0
63,1,2,300.0,1.0,300.0,1.0
64,0,1,200.0,1.0,200.0,1.0
64,1,2,300.0,1.0,300.0,1.0
65,0,1,191.6783857975567,1.0,191.6783857975567,1.0
65,1,2,216.96722862529242,1.0,216.96722862529242,1.0
66,0,1,104.26908513829302,1.0,104.26908513829302,1.0
66,1,2,284.8072633004386,1.0,284.8072633004386,1.0
67,0,1,200.0,1.0,200.0,1.0
67,1,2,300.0,1.0,300.0,1.0
68,0,1,200.0,1.0,200.0,1.0
68,1,2,300.0,1.0,300.0,1.0
69,0,1,200.0,1.0,200.0,1.0
69,1,2,300.0,1.0,300.0,1.0
70,0,1,200.0,1.0,200.0,1.0
70,1,2,300.0,1.0,300.0,1.0
71,0,1,182.2189798325929,1.0,182.2189798325929,1.0
71,1,2,243.8310924866119,1.0,243.8310924866119,1.0
72,0,1,200.0,1.0,200.0,1.0
72,1,2,300.0,1.0,300.0,1.0
73,0,1,200.0,1.0,200.0,1.0
73,1,2,300.0,1.0,300.0,1.0
74,0,1,200.0,1.0,200.0,1.0
74,1,2,300.0,1.0,300.0,1.0
75,0,1,200.0,1.0,200.0,1.0
75,1,2,300.0,1.0,300.0,1.0
76,0,1,200.0,1.0,200.0,1.0
76,1,2,300.0,1.0,300.0,1.0
77,0,1,114.20339335214638,1.0,114.20339335214638,1.0
77,1,2,241.08163752140288,1.0,241.08163752140288,1.0
78,0,1,200.0,1.0,200.0,1.0
78,1,2,300.0,1.0,300.0,1.0
79,0,1,163.98952996842044,1.0,163.98952996842044,1.0
79,1,2,275.9218280463354,1.0,275.9218280463354,1.0
80,0,1,200.0,1.0,200.0,1.0
80,1,2,300.0,1.0,300.0,1.0
81,0,1,213.2385856884027,1.0,213.2385856884027,1.0
81,1,2,162.18528428259353,1.0,162.18528428259353,1.0
82,0,1,200.0,1.0,200.0,1.0
82,1,2,300.0,1.0,300.0,1.0
83,0,1,200.0,1.0,200.0,1.0
83,1,2,300.0,1.0,300.0,1.0
85,0,1,200.0,1.0,200.0,1.0
85,1,2,300.0,1.0,300.0,1.0
86,0,1,200.0,1.0,200.0,1.0
86,1,2,300.0,1.0,300.0,1.0
