scenario_id,load_id,bus,p_mw,q_mvar,p_mw_set,q_mvar_set
0,0,4,100.0,40.0,100.0,40.0
0,1,6,90.0,30.0,90.0,30.0
0,2,8,100.0,35.0,100.0,35.0
2,0,4,100.0,40.0,100.0,40.0
2,1,6,90.0,30.0,90.0,30.0
2,2,8,100.0,35.0,100.0,35.0
4,0,4,100.0,40.0,100.0,40.0
4,1,6,90.0,30.0,90.0,30.0
4,2,8,100.0,35.0,100.0,35.0
5,0,4,100.0,40.0,100.0,40.0
5,1,6,90.0,30.0,90.0,30.0
5,2,8,100.0,35.0,100.0,35.0
6,0,4,68.04077193314691,38.437598866320876,68.04077193314691,38.437598866320876
6,1,6,79.88551996525328,20.217207430130998,79.88551996525328,20.217207430130998
6,2,8,130.9011672494867,41.5479622670952,130.9011672494867,41.5479622670952
7,0,4,100.0,40.0,100.0,40.0
7,1,6,90.0,30.0,90.0,30.0
7,2,8,100.0,35.0,100.0,35.0
8,0,4,100.0,40.0,100.0,40.0
8,1,6,90.0,30.0,90.0,30.0
8,2,8,100.0,35.0,100.0,35.0
9,0,4,100.0,40.0,100.0,40.0
9,1,6,90.0,30.0,90.0,30.0
9,2,8,100.0,35.0,100.0,35.0
10,0,4,100.0,40.0,100.0,40.0
10,1,6,90.0,30.0,90.0,30.0
10,2,8,100.0,35.0,100.0,35.0
11,0,4,100.0,40.0,100.0,40.0
11,1,6,90.0,30.0,90.0,30.0
11,2,8,100.0,35.0,100.0,35.0
12,0,4,100.0,40.0,100.0,40.0
12,1,6,90.0,30.0,90.0,30.0
12,2,8,100.0,35.0,100.0,35.0
13,0,4,100.0,40.0,100.0,40.0
13,1,6,90.0,30.0,90.0,30.0
13,2,8,100.0,35.0,100.0,35.0
14,0,4,101.64155766096118,41.4001137992922,101.64155766096118,41.4001137992922
14,1,6,101.39786008271409,37.89772136316434,101.39786008271409,37.89772136316434
14,2,8,122.55980819663203,49.883749146126334,122.55980819663203,49.883749146126334
15,0,4,126.94252667081538,47.79766099570412,126.94252667081538,47.79766099570412
15,1,6,105.09441651064066,41.400722426107265,105.09441651064066,41.400722426107265
15,2,8,137.2668077382353,50.03181464662761,137.2668077382353,50.03181464662761
16,0,4,113.59008956968543,46.343637586047386,113.59008956968543,46.343637586047386
16,1,6,104.2239865586036,38.19739029825588,104.2239865586036,38.19739029825588
16,2,8,116.90277408848205,39.20756472634489,116.90277408848205,39.20756472634489
17,0,4,100.0,40.0,100.0,40.0
17,1,6,90.0,30.0,90.0,30.0
17,2,8,100.0,35.0,100.0,35.0
18,0,4,113.5041849165078,48.47843433329957,113.5041849165078,48.47843433329957
18,1,6,107.95826676306297,36.48744233079667,107.95826676306297,36.48744233079667
18,2,8,149.58744544177546,23.416389925758082,149.58744544177546,23.416389925758082
19,0,4,100.0,40.0,100.0,40.0
19,1,6,90.0,30.0,90.0,30.0
