scenario_id,scenario_type,converged,variation_type,variation_params,grid_type,num_buses,num_lines,num_generators,num_loads
0,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 3, 'to_bus': 4, 'length_km': 1.0}}",case9,9,9,2,3
1,generation_variation,False,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
2,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
3,n1_contingency,False,n1_contingency,"{'removed_line': {'from_bus': 7, 'to_bus': 8, 'length_km': 1.0}}",case9,9,9,2,3
4,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
5,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
6,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
7,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
8,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 5, 'to_bus': 6, 'length_km': 1.0}}",case9,9,9,2,3
9,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
10,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
11,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
12,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 3, 'to_bus': 4, 'length_km': 1.0}}",case9,9,9,2,3
13,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 7, 'to_bus': 1, 'length_km': 1.0}}",case9,9,9,2,3
14,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
15,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
16,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
17,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
18,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
19,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 7, 'to_bus': 1, 'length_km': 1.0}}",case9,9,9,2,3
20,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
21,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 7, 'to_bus': 1, 'length_km': 1.0}}",case9,9,9,2,3
22,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 5, 'to_bus': 6, 'length_km': 1.0}}",case9,9,9,2,3
